[2020.11.24 10:42:08 / lib_ea_2.mqh:2506][lib_ea_2.mqh:2494] op_Post_Take_Position
[lib_ea_2.mqh:2499]
symbol	AUDJPY
period	5
dp	dp_2__All_True
this file	[ea-4_tester-1].(20201124_104208).(tickets-data).log

[2020.11.24 10:42:08 / lib_ea_2.mqh:2694]	ticket-num	curr.datetime	Close.-20	Close.-19	Close.-18	Close.-17	Close.-16	Close.-15	Close.-14	Close.-13	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-20	u/d.-19	u/d.-18	u/d.-17	u/d.-16	u/d.-15	u/d.-14	u/d.-13	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-20	width.-19	width.-18	width.-17	width.-16	width.-15	width.-14	width.-13	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-20	w-level.-19	w-level.-18	w-level.-17	w-level.-16	w-level.-15	w-level.-14	w-level.-13	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-20	MFI.-19	MFI.-18	MFI.-17	MFI.-16	MFI.-15	MFI.-14	MFI.-13	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-20	RSI.-19	RSI.-18	RSI.-17	RSI.-16	RSI.-15	RSI.-14	RSI.-13	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-20	Force.-19	Force.-18	Force.-17	Force.-16	Force.-15	Force.-14	Force.-13	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-20	BB-loc.-19	BB-loc.-18	BB-loc.-17	BB-loc.-16	BB-loc.-15	BB-loc.-14	BB-loc.-13	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	num-up-bars	num-down-bars	up/down-ratio	price-max	BB.loc	prev-N-bar	price-min	BB.loc	prev-N-bar	
[2020.11.24 10:44:56 / lib_ea_2.mqh:3176]	29249463	2020.11.24 03:45:00	76.28	76.283	76.309	76.337	76.38200000000001	76.371	76.36799999999999	76.374	76.374	76.333	76.333	76.46899999999999	76.44	76.39100000000001	76.41	76.376	76.377	76.376	76.364	76.354	-1	1	1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-0.012	0.003	0.028	0.028	0.047	-0.01	-0.005	0.005	0.001	-0.041	-0.002	0.135	-0.038	-0.05	0.018	-0.034	0.002	-0.001	-0.012	-0.01	-2	1	3	3	4	-1	-1	1	1	-4	-1	4	-4	-4	2	-4	1	-1	-2	-2	62.0534	56.48651	58.01422	62.15637	64.18468	67.44193	65.60542	65.68385000000001	61.90832	59.22547	54.01198	55.76735	58.89228	53.7267	50.64326	46.24238	46.11955	50.88032	48.41964	42.05929	60.50156	60.8128	63.44092	66.02399	69.65149	67.78918	67.2728	67.78935	67.78935	60.55293	60.55293	71.66865	67.40528999999999	60.95597	62.42344	58.29622	58.38141	58.25614	56.71888	55.43569	3.94985	1.7325	2.8012	3.0067	3.83775	3.4671	2.6289	2.0381	1.995	2.4585	1.271	5.10485	4.2568	1.4673	2.34135	1.0452	1.968	2.0792	1.94925	0.99855	3	3	3	2	2	2	2	2	2	3	3	1	2	3	2	3	3	3	3	4	10	11	0.909	76.47799999999999	2	8	76.28	3	19	
[2020.11.24 10:49:56 / lib_ea_2.mqh:3176]	29249491	2020.11.24 03:50:00	76.283	76.309	76.337	76.38200000000001	76.371	76.36799999999999	76.374	76.374	76.333	76.333	76.46899999999999	76.44	76.39100000000001	76.41	76.376	76.377	76.376	76.364	76.354	76.38200000000001	1	1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	0.003	0.028	0.028	0.047	-0.01	-0.005	0.005	0.001	-0.041	-0.002	0.135	-0.038	-0.05	0.018	-0.034	0.002	-0.001	-0.012	-0.01	0.028	1	3	3	4	-1	-1	1	1	-4	-1	4	-4	-4	2	-4	1	-1	-2	-2	3	56.48651	58.01422	62.15637	64.18468	67.44193	65.60542	65.68385000000001	61.90832	59.22547	54.01198	55.76735	58.89228	53.7267	50.64326	46.24238	46.11955	50.88032	48.41964	42.05929	46.74839	60.8128	63.44092	66.02399	69.65149	67.78918	67.2728	67.78935	67.78935	60.55293	60.55293	71.66865	67.40528999999999	60.95597	62.42344	58.29622	58.38141	58.25614	56.71888	55.43569	58.2215	1.7325	2.8012	3.0067	3.83775	3.4671	2.6289	2.0381	1.995	2.4585	1.271	5.10485	4.2568	1.4673	2.34135	1.0452	1.968	2.0792	1.94925	0.99855	1.2546	3	3	2	2	2	2	2	2	3	3	1	2	3	2	3	3	3	3	4	3	11	10	1.1	76.47799999999999	2	9	76.28	3	20	
[2020.11.24 10:54:57 / lib_ea_2.mqh:3176]	29249517	2020.11.24 03:55:00	76.309	76.337	76.38200000000001	76.371	76.36799999999999	76.374	76.374	76.333	76.333	76.46899999999999	76.44	76.39100000000001	76.41	76.376	76.377	76.376	76.364	76.354	76.38200000000001	76.374	1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	-1	0.028	0.028	0.047	-0.01	-0.005	0.005	0.001	-0.041	-0.002	0.135	-0.038	-0.05	0.018	-0.034	0.002	-0.001	-0.012	-0.01	0.028	-0.008	3	3	4	-1	-1	1	1	-4	-1	4	-4	-4	2	-4	1	-1	-2	-2	3	-1	58.01422	62.15637	64.18468	67.44193	65.60542	65.68385000000001	61.90832	59.22547	54.01198	55.76735	58.89228	53.7267	50.64326	46.24238	46.11955	50.88032	48.41964	42.05929	46.74839	50.85397	63.44092	66.02399	69.65149	67.78918	67.2728	67.78935	67.78935	60.55293	60.55293	71.66865	67.40528999999999	60.95597	62.42344	58.29622	58.38141	58.25614	56.71888	55.43569	58.2215	57.1471	2.8012	3.0067	3.83775	3.4671	2.6289	2.0381	1.995	2.4585	1.271	5.10485	4.2568	1.4673	2.34135	1.0452	1.968	2.0792	1.94925	0.99855	1.2546	1.53335	3	2	2	2	2	2	2	3	3	1	2	3	2	3	3	3	3	4	3	4	10	11	0.909	76.47799999999999	2	10	76.28100000000001	3	20	
[2020.11.24 10:59:56 / lib_ea_2.mqh:3176]	29249540	2020.11.24 04:00:00	76.337	76.38200000000001	76.371	76.36799999999999	76.374	76.374	76.333	76.333	76.46899999999999	76.44	76.39100000000001	76.41	76.376	76.377	76.376	76.364	76.354	76.38200000000001	76.374	76.38	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	-1	1	0.028	0.047	-0.01	-0.005	0.005	0.001	-0.041	-0.002	0.135	-0.038	-0.05	0.018	-0.034	0.002	-0.001	-0.012	-0.01	0.028	-0.008	0.005	3	4	-1	-1	1	1	-4	-1	4	-4	-4	2	-4	1	-1	-2	-2	3	-1	1	62.15637	64.18468	67.44193	65.60542	65.68385000000001	61.90832	59.22547	54.01198	55.76735	58.89228	53.7267	50.64326	46.24238	46.11955	50.88032	48.41964	42.05929	46.74839	50.85397	46.51659	66.02399	69.65149	67.78918	67.2728	67.78935	67.78935	60.55293	60.55293	71.66865	67.40528999999999	60.95597	62.42344	58.29622	58.38141	58.25614	56.71888	55.43569	58.2215	57.1471	57.76244	3.0067	3.83775	3.4671	2.6289	2.0381	1.995	2.4585	1.271	5.10485	4.2568	1.4673	2.34135	1.0452	1.968	2.0792	1.94925	0.99855	1.2546	1.53335	1.0224	2	2	2	2	2	2	3	3	1	2	3	2	3	3	3	3	4	3	4	3	10	11	0.909	76.47799999999999	2	11	76.309	2	20	
[2020.11.24 11:04:56 / lib_ea_2.mqh:3176]	29249572	2020.11.24 04:05:00	76.38200000000001	76.371	76.36799999999999	76.374	76.374	76.333	76.333	76.46899999999999	76.44	76.39100000000001	76.41	76.376	76.377	76.376	76.364	76.354	76.38200000000001	76.374	76.38	76.352	1	-1	-1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	-1	1	-1	0.047	-0.01	-0.005	0.005	0.001	-0.041	-0.002	0.135	-0.038	-0.05	0.018	-0.034	0.002	-0.001	-0.012	-0.01	0.028	-0.008	0.005	-0.028	4	-1	-1	1	1	-4	-1	4	-4	-4	2	-4	1	-1	-2	-2	3	-1	1	-3	64.18468	67.44193	65.60542	65.68385000000001	61.90832	59.22547	54.01198	55.76735	58.89228	53.7267	50.64326	46.24238	46.11955	50.88032	48.41964	42.05929	46.74839	50.85397	46.51659	42.16784	69.65149	67.78918	67.2728	67.78935	67.78935	60.55293	60.55293	71.66865	67.40528999999999	60.95597	62.42344	58.29622	58.38141	58.25614	56.71888	55.43569	58.2215	57.1471	57.76244	53.95647	3.83775	3.4671	2.6289	2.0381	1.995	2.4585	1.271	5.10485	4.2568	1.4673	2.34135	1.0452	1.968	2.0792	1.94925	0.99855	1.2546	1.53335	1.0224	0.23325	2	2	2	2	2	3	3	1	2	3	2	3	3	3	3	4	3	4	3	4	9	12	0.75	76.47799999999999	2	12	76.333	3	14	
[2020.11.24 11:09:56 / lib_ea_2.mqh:3176]	29249605	2020.11.24 04:10:00	76.371	76.36799999999999	76.374	76.374	76.333	76.333	76.46899999999999	76.44	76.39100000000001	76.41	76.376	76.377	76.376	76.364	76.354	76.38200000000001	76.374	76.38	76.352	76.372	-1	-1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	-1	1	-1	1	-0.01	-0.005	0.005	0.001	-0.041	-0.002	0.135	-0.038	-0.05	0.018	-0.034	0.002	-0.001	-0.012	-0.01	0.028	-0.008	0.005	-0.028	0.02	-1	-1	1	1	-4	-1	4	-4	-4	2	-4	1	-1	-2	-2	3	-1	1	-3	3	67.44193	65.60542	65.68385000000001	61.90832	59.22547	54.01198	55.76735	58.89228	53.7267	50.64326	46.24238	46.11955	50.88032	48.41964	42.05929	46.74839	50.85397	46.51659	42.16784	42.06531	67.78918	67.2728	67.78935	67.78935	60.55293	60.55293	71.66865	67.40528999999999	60.95597	62.42344	58.29622	58.38141	58.25614	56.71888	55.43569	58.2215	57.1471	57.76244	53.95647	56.12986	3.4671	2.6289	2.0381	1.995	2.4585	1.271	5.10485	4.2568	1.4673	2.34135	1.0452	1.968	2.0792	1.94925	0.99855	1.2546	1.53335	1.0224	0.23325	-0.1445	2	2	2	2	3	3	1	2	3	2	3	3	3	3	4	3	4	3	4	4	9	12	0.75	76.47799999999999	2	13	76.333	3	15	
[2020.11.24 11:14:56 / lib_ea_2.mqh:3176]	29249622	2020.11.24 04:15:00	76.36799999999999	76.374	76.374	76.333	76.333	76.46899999999999	76.44	76.39100000000001	76.41	76.376	76.377	76.376	76.364	76.354	76.38200000000001	76.374	76.38	76.352	76.372	76.408	-1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	-1	1	-1	1	1	-0.005	0.005	0.001	-0.041	-0.002	0.135	-0.038	-0.05	0.018	-0.034	0.002	-0.001	-0.012	-0.01	0.028	-0.008	0.005	-0.028	0.02	0.035	-1	1	1	-4	-1	4	-4	-4	2	-4	1	-1	-2	-2	3	-1	1	-3	3	4	65.60542	65.68385000000001	61.90832	59.22547	54.01198	55.76735	58.89228	53.7267	50.64326	46.24238	46.11955	50.88032	48.41964	42.05929	46.74839	50.85397	46.51659	42.16784	42.06531	42.11735	67.2728	67.78935	67.78935	60.55293	60.55293	71.66865	67.40528999999999	60.95597	62.42344	58.29622	58.38141	58.25614	56.71888	55.43569	58.2215	57.1471	57.76244	53.95647	56.12986	59.73137	2.6289	2.0381	1.995	2.4585	1.271	5.10485	4.2568	1.4673	2.34135	1.0452	1.968	2.0792	1.94925	0.99855	1.2546	1.53335	1.0224	0.23325	-0.1445	0.51615	2	2	2	3	3	1	2	3	2	3	3	3	3	4	3	4	3	4	4	3	10	11	0.909	76.47799999999999	2	14	76.333	3	16	
[2020.11.24 11:19:56 / lib_ea_2.mqh:3176]	29249645	2020.11.24 04:20:00	76.374	76.374	76.333	76.333	76.46899999999999	76.44	76.39100000000001	76.41	76.376	76.377	76.376	76.364	76.354	76.38200000000001	76.374	76.38	76.352	76.372	76.408	76.414	1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	-1	1	-1	1	1	1	0.005	0.001	-0.041	-0.002	0.135	-0.038	-0.05	0.018	-0.034	0.002	-0.001	-0.012	-0.01	0.028	-0.008	0.005	-0.028	0.02	0.035	0.006	1	1	-4	-1	4	-4	-4	2	-4	1	-1	-2	-2	3	-1	1	-3	3	4	1	65.68385000000001	61.90832	59.22547	54.01198	55.76735	58.89228	53.7267	50.64326	46.24238	46.11955	50.88032	48.41964	42.05929	46.74839	50.85397	46.51659	42.16784	42.06531	42.11735	45.83775	67.78935	67.78935	60.55293	60.55293	71.66865	67.40528999999999	60.95597	62.42344	58.29622	58.38141	58.25614	56.71888	55.43569	58.2215	57.1471	57.76244	53.95647	56.12986	59.73137	60.30311	2.0381	1.995	2.4585	1.271	5.10485	4.2568	1.4673	2.34135	1.0452	1.968	2.0792	1.94925	0.99855	1.2546	1.53335	1.0224	0.23325	-0.1445	0.51615	0.667	2	2	3	3	1	2	3	2	3	3	3	3	4	3	4	3	4	4	3	3	11	10	1.1	76.47799999999999	2	15	76.333	3	17	
[2020.11.24 11:24:57 / lib_ea_2.mqh:3176]	29249679	2020.11.24 04:25:00	76.374	76.333	76.333	76.46899999999999	76.44	76.39100000000001	76.41	76.376	76.377	76.376	76.364	76.354	76.38200000000001	76.374	76.38	76.352	76.372	76.408	76.414	76.44799999999999	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	-1	1	-1	1	1	1	1	0.001	-0.041	-0.002	0.135	-0.038	-0.05	0.018	-0.034	0.002	-0.001	-0.012	-0.01	0.028	-0.008	0.005	-0.028	0.02	0.035	0.006	0.034	1	-4	-1	4	-4	-4	2	-4	1	-1	-2	-2	3	-1	1	-3	3	4	1	4	61.90832	59.22547	54.01198	55.76735	58.89228	53.7267	50.64326	46.24238	46.11955	50.88032	48.41964	42.05929	46.74839	50.85397	46.51659	42.16784	42.06531	42.11735	45.83775	46.79398	67.78935	60.55293	60.55293	71.66865	67.40528999999999	60.95597	62.42344	58.29622	58.38141	58.25614	56.71888	55.43569	58.2215	57.1471	57.76244	53.95647	56.12986	59.73137	60.30311	63.40256	1.995	2.4585	1.271	5.10485	4.2568	1.4673	2.34135	1.0452	1.968	2.0792	1.94925	0.99855	1.2546	1.53335	1.0224	0.23325	-0.1445	0.51615	0.667	1.1137	2	3	3	1	2	3	2	3	3	3	3	4	3	4	3	4	4	3	3	2	11	10	1.1	76.47799999999999	2	16	76.333	3	18	
[2020.11.24 11:29:56 / lib_ea_2.mqh:3176]	29249714	2020.11.24 04:30:00	76.333	76.333	76.46899999999999	76.44	76.39100000000001	76.41	76.376	76.377	76.376	76.364	76.354	76.38200000000001	76.374	76.38	76.352	76.372	76.408	76.414	76.44799999999999	76.431	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	-1	1	-1	1	1	1	1	-1	-0.041	-0.002	0.135	-0.038	-0.05	0.018	-0.034	0.002	-0.001	-0.012	-0.01	0.028	-0.008	0.005	-0.028	0.02	0.035	0.006	0.034	-0.017	-4	-1	4	-4	-4	2	-4	1	-1	-2	-2	3	-1	1	-3	3	4	1	4	-2	59.22547	54.01198	55.76735	58.89228	53.7267	50.64326	46.24238	46.11955	50.88032	48.41964	42.05929	46.74839	50.85397	46.51659	42.16784	42.06531	42.11735	45.83775	46.79398	50.42893	60.55293	60.55293	71.66865	67.40528999999999	60.95597	62.42344	58.29622	58.38141	58.25614	56.71888	55.43569	58.2215	57.1471	57.76244	53.95647	56.12986	59.73137	60.30311	63.40256	60.89996	2.4585	1.271	5.10485	4.2568	1.4673	2.34135	1.0452	1.968	2.0792	1.94925	0.99855	1.2546	1.53335	1.0224	0.23325	-0.1445	0.51615	0.667	1.1137	0.8493000000000001	3	3	1	2	3	2	3	3	3	3	4	3	4	3	4	4	3	3	2	2	10	11	0.909	76.47799999999999	2	17	76.333	3	19	
