[2020.09.02 10:19:05 / lib_ea_2.mqh:1973][lib_ea_2.mqh:1961] op_Post_Take_Position
[lib_ea_2.mqh:1966]
symbol	AUDJPY
period	5
dp	dp_2__All_True
this file	[ea-6_tester-1].(20200902_101905).(tickets-data).log

[2020.09.02 10:19:05 / lib_ea_2.mqh:2122]	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	
[2020.09.02 10:20:01 / lib_ea_2.mqh:2427]	28264677	2020.09.02 04:20:00	78.114	78.126	78.13200000000001	78.14100000000001	78.11199999999999	78.04000000000001	78.063	78.072	78.041	78.00700000000001	78	78.017	-1	1	1	1	-1	-1	1	1	-1	-1	-1	1	-0.007	0.018	0.007	0.008	-0.032	-0.073	0.022	0.001	-0.032	-0.033	-0.007	0.014	-1	2	1	1	-4	-4	3	1	-4	-4	-1	2	54.2012	58.33792	60.39364	64.41731	62.54618	58.20951	62.75313	64.36144	58.87954	51.29983	49.02536	51.09009	49.78359	51.76388	52.74467	54.21462	49.04049	39.25059	43.07198	44.50974	40.77587	37.17544	36.47741	39.38685	-0.0486	0.2114	0.05385	0.4205	0.0805	-1.3056	-0.378	-0.3129	-0.9143	-4.14765	-2.622	-2.3275	3	3	2	2	4	6	5	5	6	6	6	5	
[2020.09.02 10:25:01 / lib_ea_2.mqh:2427]	28264715	2020.09.02 04:25:00	78.126	78.13200000000001	78.14100000000001	78.11199999999999	78.04000000000001	78.063	78.072	78.041	78.00700000000001	78	78.017	77.98399999999999	1	1	1	-1	-1	1	1	-1	-1	-1	1	-1	0.018	0.007	0.008	-0.032	-0.073	0.022	0.001	-0.032	-0.033	-0.007	0.014	-0.033	2	1	1	-4	-4	3	1	-4	-4	-1	2	-4	58.33792	60.39364	64.41731	62.54618	58.20951	62.75313	64.36144	58.87954	51.29983	49.02536	51.09009	49.96374	51.76388	52.74467	54.21462	49.04049	39.25059	43.07198	44.50974	40.77587	37.17544	36.47741	39.38685	36.01615	0.2114	0.05385	0.4205	0.0805	-1.3056	-0.378	-0.3129	-0.9143	-4.14765	-2.622	-2.3275	-2.47035	3	2	2	4	6	5	5	6	6	6	5	5	
[2020.09.02 10:30:01 / lib_ea_2.mqh:2427]	28264774	2020.09.02 04:30:00	78.13200000000001	78.14100000000001	78.11199999999999	78.04000000000001	78.063	78.072	78.041	78.00700000000001	78	78.017	77.98399999999999	78.014	1	1	-1	-1	1	1	-1	-1	-1	1	-1	1	0.007	0.008	-0.032	-0.073	0.022	0.001	-0.032	-0.033	-0.007	0.014	-0.033	0.029	1	1	-4	-4	3	1	-4	-4	-1	2	-4	3	60.39364	64.41731	62.54618	58.20951	62.75313	64.36144	58.87954	51.29983	49.02536	51.09009	49.96374	51.16931	52.74467	54.21462	49.04049	39.25059	43.07198	44.50974	40.77587	37.17544	36.47741	39.38685	36.01615	40.85941	0.05385	0.4205	0.0805	-1.3056	-0.378	-0.3129	-0.9143	-4.14765	-2.622	-2.3275	-2.47035	-2.7459	2	2	4	6	5	5	6	6	6	5	5	5	
[2020.09.02 10:35:01 / lib_ea_2.mqh:2427]	28264923	2020.09.02 04:35:00	78.14100000000001	78.11199999999999	78.04000000000001	78.063	78.072	78.041	78.00700000000001	78	78.017	77.98399999999999	78.014	77.858	1	-1	-1	1	1	-1	-1	-1	1	-1	1	-1	0.008	-0.032	-0.073	0.022	0.001	-0.032	-0.033	-0.007	0.014	-0.033	0.029	-0.149	1	-4	-4	3	1	-4	-4	-1	2	-4	3	-4	64.41731	62.54618	58.20951	62.75313	64.36144	58.87954	51.29983	49.02536	51.09009	49.96374	51.16931	45.40668	54.21462	49.04049	39.25059	43.07198	44.50974	40.77587	37.17544	36.47741	39.38685	36.01615	40.85941	28.88958	0.4205	0.0805	-1.3056	-0.378	-0.3129	-0.9143	-4.14765	-2.622	-2.3275	-2.47035	-2.7459	-10.03025	2	4	6	5	5	6	6	6	5	5	5	6	
[2020.09.02 10:40:01 / lib_ea_2.mqh:2427]	28265098	2020.09.02 04:40:00	78.11199999999999	78.04000000000001	78.063	78.072	78.041	78.00700000000001	78	78.017	77.98399999999999	78.014	77.858	77.82599999999999	-1	-1	1	1	-1	-1	-1	1	-1	1	-1	-1	-0.032	-0.073	0.022	0.001	-0.032	-0.033	-0.007	0.014	-0.033	0.029	-0.149	-0.029	-4	-4	3	1	-4	-4	-1	2	-4	3	-4	-3	62.54618	58.20951	62.75313	64.36144	58.87954	51.29983	49.02536	51.09009	49.96374	51.16931	45.40668	41.08461	49.04049	39.25059	43.07198	44.50974	40.77587	37.17544	36.47741	39.38685	36.01615	40.85941	28.88958	27.17087	0.0805	-1.3056	-0.378	-0.3129	-0.9143	-4.14765	-2.622	-2.3275	-2.47035	-2.7459	-10.03025	-7.7988	4	6	5	5	6	6	6	5	5	5	6	6	
[2020.09.02 10:45:01 / lib_ea_2.mqh:2427]	28265164	2020.09.02 04:45:00	78.04000000000001	78.063	78.072	78.041	78.00700000000001	78	78.017	77.98399999999999	78.014	77.858	77.82599999999999	77.907	-1	1	1	-1	-1	-1	1	-1	1	-1	-1	1	-0.073	0.022	0.001	-0.032	-0.033	-0.007	0.014	-0.033	0.029	-0.149	-0.029	0.078	-4	3	1	-4	-4	-1	2	-4	3	-4	-3	4	58.20951	62.75313	64.36144	58.87954	51.29983	49.02536	51.09009	49.96374	51.16931	45.40668	41.08461	41.34488	39.25059	43.07198	44.50974	40.77587	37.17544	36.47741	39.38685	36.01615	40.85941	28.88958	27.17087	37.13582	-1.3056	-0.378	-0.3129	-0.9143	-4.14765	-2.622	-2.3275	-2.47035	-2.7459	-10.03025	-7.7988	-5.6628	6	5	5	6	6	6	5	5	5	6	6	5	
[2020.09.02 10:50:02 / lib_ea_2.mqh:2427]	28265262	2020.09.02 04:50:00	78.063	78.072	78.041	78.00700000000001	78	78.017	77.98399999999999	78.014	77.858	77.82599999999999	77.907	77.855	1	1	-1	-1	-1	1	-1	1	-1	-1	1	-1	0.022	0.001	-0.032	-0.033	-0.007	0.014	-0.033	0.029	-0.149	-0.029	0.078	-0.052	3	1	-4	-4	-1	2	-4	3	-4	-3	4	-4	62.75313	64.36144	58.87954	51.29983	49.02536	51.09009	49.96374	51.16931	45.40668	41.08461	41.34488	40.83177	43.07198	44.50974	40.77587	37.17544	36.47741	39.38685	36.01615	40.85941	28.88958	27.17087	37.13582	33.99277	-0.378	-0.3129	-0.9143	-4.14765	-2.622	-2.3275	-2.47035	-2.7459	-10.03025	-7.7988	-5.6628	-6.45665	5	5	6	6	6	5	5	5	6	6	5	5	
[2020.09.02 10:55:01 / lib_ea_2.mqh:2427]	28265323	2020.09.02 04:55:00	78.072	78.041	78.00700000000001	78	78.017	77.98399999999999	78.014	77.858	77.82599999999999	77.907	77.855	77.879	1	-1	-1	-1	1	-1	1	-1	-1	1	-1	1	0.001	-0.032	-0.033	-0.007	0.014	-0.033	0.029	-0.149	-0.029	0.078	-0.052	0.024	1	-4	-4	-1	2	-4	3	-4	-3	4	-4	3	64.36144	58.87954	51.29983	49.02536	51.09009	49.96374	51.16931	45.40668	41.08461	41.34488	40.83177	41.84875	44.50974	40.77587	37.17544	36.47741	39.38685	36.01615	40.85941	28.88958	27.17087	37.13582	33.99277	36.59972	-0.3129	-0.9143	-4.14765	-2.622	-2.3275	-2.47035	-2.7459	-10.03025	-7.7988	-5.6628	-6.45665	-6.3855	5	6	6	6	5	5	5	6	6	5	5	5	
[2020.09.02 11:00:01 / lib_ea_2.mqh:2427]	28265477	2020.09.02 05:00:00	78.041	78.00700000000001	78	78.017	77.98399999999999	78.014	77.858	77.82599999999999	77.907	77.855	77.879	77.917	-1	-1	-1	1	-1	1	-1	-1	1	-1	1	1	-0.032	-0.033	-0.007	0.014	-0.033	0.029	-0.149	-0.029	0.078	-0.052	0.024	0.038	-4	-4	-1	2	-4	3	-4	-3	4	-4	3	4	58.87954	51.29983	49.02536	51.09009	49.96374	51.16931	45.40668	41.08461	41.34488	40.83177	41.84875	45.64122	40.77587	37.17544	36.47741	39.38685	36.01615	40.85941	28.88958	27.17087	37.13582	33.99277	36.59972	40.5153	-0.9143	-4.14765	-2.622	-2.3275	-2.47035	-2.7459	-10.03025	-7.7988	-5.6628	-6.45665	-6.3855	-3.8994	6	6	6	5	5	5	6	6	5	5	5	4	
[2020.09.02 11:05:01 / lib_ea_2.mqh:2427]	28265529	2020.09.02 05:05:00	78.00700000000001	78	78.017	77.98399999999999	78.014	77.858	77.82599999999999	77.907	77.855	77.879	77.917	77.90300000000001	-1	-1	1	-1	1	-1	-1	1	-1	1	1	-1	-0.033	-0.007	0.014	-0.033	0.029	-0.149	-0.029	0.078	-0.052	0.024	0.038	-0.013	-4	-1	2	-4	3	-4	-3	4	-4	3	4	-2	51.29983	49.02536	51.09009	49.96374	51.16931	45.40668	41.08461	41.34488	40.83177	41.84875	45.64122	49.72451	37.17544	36.47741	39.38685	36.01615	40.85941	28.88958	27.17087	37.13582	33.99277	36.59972	40.5153	39.56761	-4.14765	-2.622	-2.3275	-2.47035	-2.7459	-10.03025	-7.7988	-5.6628	-6.45665	-6.3855	-3.8994	-4.5998	6	6	5	5	5	6	6	5	5	5	4	4	
