[2020.09.01 09:39:32 / lib_ea_2.mqh:1973][lib_ea_2.mqh:1961] op_Post_Take_Position
[lib_ea_2.mqh:1966]
symbol	AUDJPY
period	5
dp	dp_2__All_True
this file	[ea-6_tester-1].(20200901_093932).(tickets-data).log

[2020.09.01 09:39:32 / lib_ea_2.mqh:2122]	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	
[2020.09.01 09:40:02 / lib_ea_2.mqh:2427]	28237342	2020.09.01 03:40:00	78.167	78.184	78.181	78.19499999999999	78.28400000000001	78.34	78.318	78.28400000000001	78.267	78.227	78.203	78.18600000000001	-1	1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-0.028	0.014	-0.003	0.014	0.09	0.054	-0.023	-0.034	-0.017	-0.041	-0.025	-0.017	-3	2	-1	2	4	4	-3	-4	-2	-4	-3	-2	67.25454999999999	65.90988	71.88807	77.85897	86.84269999999999	91.53416	85.46446	77.50312	71.00942000000001	66.29203	62.14702	58.06756	57.60776	59.98111	59.36374	61.31946	70.74212	74.8069	70.7426	64.99778000000001	62.33361	56.58871	53.47595	51.3691	0.5562	0.6816	1	1.0707	6.579	6.99425	5.481	4.23325	3.553	1.8744	1.5729	1.21905	2	2	2	2	1	1	1	2	2	3	3	4	
[2020.09.01 09:45:01 / lib_ea_2.mqh:2427]	28237383	2020.09.01 03:45:00	78.184	78.181	78.19499999999999	78.28400000000001	78.34	78.318	78.28400000000001	78.267	78.227	78.203	78.18600000000001	78.117	1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	0.014	-0.003	0.014	0.09	0.054	-0.023	-0.034	-0.017	-0.041	-0.025	-0.017	-0.07099999999999999	2	-1	2	4	4	-3	-4	-2	-4	-3	-2	-4	65.90988	71.88807	77.85897	86.84269999999999	91.53416	85.46446	77.50312	71.00942000000001	66.29203	62.14702	58.06756	53.52316	59.98111	59.36374	61.31946	70.74212	74.8069	70.7426	64.99778000000001	62.33361	56.58871	53.47595	51.3691	43.96813	0.6816	1	1.0707	6.579	6.99425	5.481	4.23325	3.553	1.8744	1.5729	1.21905	-0.0501	2	2	2	1	1	1	2	2	3	3	4	5	
[2020.09.01 09:50:02 / lib_ea_2.mqh:2427]	28237414	2020.09.01 03:50:00	78.181	78.19499999999999	78.28400000000001	78.34	78.318	78.28400000000001	78.267	78.227	78.203	78.18600000000001	78.117	78.161	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	1	-0.003	0.014	0.09	0.054	-0.023	-0.034	-0.017	-0.041	-0.025	-0.017	-0.07099999999999999	0.041	-1	2	4	4	-3	-4	-2	-4	-3	-2	-4	4	71.88807	77.85897	86.84269999999999	91.53416	85.46446	77.50312	71.00942000000001	66.29203	62.14702	58.06756	53.52316	54.96148	59.36374	61.31946	70.74212	74.8069	70.7426	64.99778000000001	62.33361	56.58871	53.47595	51.3691	43.96813	48.90908	1	1.0707	6.579	6.99425	5.481	4.23325	3.553	1.8744	1.5729	1.21905	-0.0501	0.58305	2	2	1	1	1	2	2	3	3	4	5	4	
[2020.09.01 09:55:01 / lib_ea_2.mqh:2427]	28237485	2020.09.01 03:55:00	78.19499999999999	78.28400000000001	78.34	78.318	78.28400000000001	78.267	78.227	78.203	78.18600000000001	78.117	78.161	78.027	1	1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	0.014	0.09	0.054	-0.023	-0.034	-0.017	-0.041	-0.025	-0.017	-0.07099999999999999	0.041	-0.134	2	4	4	-3	-4	-2	-4	-3	-2	-4	4	-4	77.85897	86.84269999999999	91.53416	85.46446	77.50312	71.00942000000001	66.29203	62.14702	58.06756	53.52316	54.96148	48.72907	61.31946	70.74212	74.8069	70.7426	64.99778000000001	62.33361	56.58871	53.47595	51.3691	43.96813	48.90908	38.13022	1.0707	6.579	6.99425	5.481	4.23325	3.553	1.8744	1.5729	1.21905	-0.0501	0.58305	-3.172	2	1	1	1	2	2	3	3	4	5	4	6	
[2020.09.01 10:00:01 / lib_ea_2.mqh:2427]	28237560	2020.09.01 04:00:00	78.28400000000001	78.34	78.318	78.28400000000001	78.267	78.227	78.203	78.18600000000001	78.117	78.161	78.027	78.032	1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	0.09	0.054	-0.023	-0.034	-0.017	-0.041	-0.025	-0.017	-0.07099999999999999	0.041	-0.134	0.006	4	4	-3	-4	-2	-4	-3	-2	-4	4	-4	1	86.84269999999999	91.53416	85.46446	77.50312	71.00942000000001	66.29203	62.14702	58.06756	53.52316	54.96148	48.72907	44.12533	70.74212	74.8069	70.7426	64.99778000000001	62.33361	56.58871	53.47595	51.3691	43.96813	48.90908	38.13022	38.66118	6.579	6.99425	5.481	4.23325	3.553	1.8744	1.5729	1.21905	-0.0501	0.58305	-3.172	-2.1018	1	1	1	2	2	3	3	4	5	4	6	6	
[2020.09.01 10:05:01 / lib_ea_2.mqh:2427]	28237692	2020.09.01 04:05:00	78.34	78.318	78.28400000000001	78.267	78.227	78.203	78.18600000000001	78.117	78.161	78.027	78.032	78.063	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	0.054	-0.023	-0.034	-0.017	-0.041	-0.025	-0.017	-0.07099999999999999	0.041	-0.134	0.006	0.031	4	-3	-4	-2	-4	-3	-2	-4	4	-4	1	4	91.53416	85.46446	77.50312	71.00942000000001	66.29203	62.14702	58.06756	53.52316	54.96148	48.72907	44.12533	46.59948	74.8069	70.7426	64.99778000000001	62.33361	56.58871	53.47595	51.3691	43.96813	48.90908	38.13022	38.66118	41.91443	6.99425	5.481	4.23325	3.553	1.8744	1.5729	1.21905	-0.0501	0.58305	-3.172	-2.1018	-2.36075	1	1	2	2	3	3	4	5	4	6	6	5	
[2020.09.01 10:10:01 / lib_ea_2.mqh:2427]	28237741	2020.09.01 04:10:00	78.318	78.28400000000001	78.267	78.227	78.203	78.18600000000001	78.117	78.161	78.027	78.032	78.063	78.056	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-0.023	-0.034	-0.017	-0.041	-0.025	-0.017	-0.07099999999999999	0.041	-0.134	0.006	0.031	-0.008	-3	-4	-2	-4	-3	-2	-4	4	-4	1	4	-1	85.46446	77.50312	71.00942000000001	66.29203	62.14702	58.06756	53.52316	54.96148	48.72907	44.12533	46.59948	48.67276	70.7426	64.99778000000001	62.33361	56.58871	53.47595	51.3691	43.96813	48.90908	38.13022	38.66118	41.91443	41.39262	5.481	4.23325	3.553	1.8744	1.5729	1.21905	-0.0501	0.58305	-3.172	-2.1018	-2.36075	-1.88825	1	2	2	3	3	4	5	4	6	6	5	5	
[2020.09.01 10:15:01 / lib_ea_2.mqh:2427]	28237831	2020.09.01 04:15:00	78.28400000000001	78.267	78.227	78.203	78.18600000000001	78.117	78.161	78.027	78.032	78.063	78.056	78.018	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-0.034	-0.017	-0.041	-0.025	-0.017	-0.07099999999999999	0.041	-0.134	0.006	0.031	-0.008	-0.038	-4	-2	-4	-3	-2	-4	4	-4	1	4	-1	-4	77.50312	71.00942000000001	66.29203	62.14702	58.06756	53.52316	54.96148	48.72907	44.12533	46.59948	48.67276	44.41925	64.99778000000001	62.33361	56.58871	53.47595	51.3691	43.96813	48.90908	38.13022	38.66118	41.91443	41.39262	38.6435	4.23325	3.553	1.8744	1.5729	1.21905	-0.0501	0.58305	-3.172	-2.1018	-2.36075	-1.88825	-3.2886	2	2	3	3	4	5	4	6	6	5	5	5	
[2020.09.01 10:20:02 / lib_ea_2.mqh:2427]	28237891	2020.09.01 04:20:00	78.267	78.227	78.203	78.18600000000001	78.117	78.161	78.027	78.032	78.063	78.056	78.018	78.056	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	1	-0.017	-0.041	-0.025	-0.017	-0.07099999999999999	0.041	-0.134	0.006	0.031	-0.008	-0.038	0.039	-2	-4	-3	-2	-4	4	-4	1	4	-1	-4	4	71.00942000000001	66.29203	62.14702	58.06756	53.52316	54.96148	48.72907	44.12533	46.59948	48.67276	44.41925	46.04477	62.33361	56.58871	53.47595	51.3691	43.96813	48.90908	38.13022	38.66118	41.91443	41.39262	38.6435	42.65272	3.553	1.8744	1.5729	1.21905	-0.0501	0.58305	-3.172	-2.1018	-2.36075	-1.88825	-3.2886	-3.15135	2	3	3	4	5	4	6	6	5	5	5	5	
[2020.09.01 10:25:02 / lib_ea_2.mqh:2427]	28238026	2020.09.01 04:25:00	78.227	78.203	78.18600000000001	78.117	78.161	78.027	78.032	78.063	78.056	78.018	78.056	78.06399999999999	-1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	-0.041	-0.025	-0.017	-0.07099999999999999	0.041	-0.134	0.006	0.031	-0.008	-0.038	0.039	0.008	-4	-3	-2	-4	4	-4	1	4	-1	-4	4	1	66.29203	62.14702	58.06756	53.52316	54.96148	48.72907	44.12533	46.59948	48.67276	44.41925	46.04477	50.36491	56.58871	53.47595	51.3691	43.96813	48.90908	38.13022	38.66118	41.91443	41.39262	38.6435	42.65272	43.47128	1.8744	1.5729	1.21905	-0.0501	0.58305	-3.172	-2.1018	-2.36075	-1.88825	-3.2886	-3.15135	-2.33295	3	3	4	5	4	6	6	5	5	5	5	4	
