[2020.09.16 09:42:42 / lib_ea_2.mqh:1973][lib_ea_2.mqh:1961] op_Post_Take_Position
[lib_ea_2.mqh:1966]
symbol	USDJPY
period	5
dp	dp_2__All_True
this file	[ea-6_tester-1].(20200916_094242).(tickets-data).log

[2020.09.16 09:42:42 / lib_ea_2.mqh:2122]	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	
[2020.09.16 09:45:00 / lib_ea_2.mqh:2427]	28497604	2020.09.16 03:45:00	105.398	105.421	105.399	105.306	105.299	105.308	105.274	105.319	105.343	105.324	105.343	105.363	1	1	-1	-1	-1	1	-1	1	1	-1	1	1	0.026	0.023	-0.023	-0.092	-0.01	0.012	-0.035	0.046	0.028	-0.019	0.019	0.02	3	3	-3	-4	-1	2	-4	4	3	-2	2	2	37.31767	44.20825	41.28787	29.73187	24.27811	31.47892	25.49306	35.66779	40.45516	35.526	41.11472	47.46756	46.9653	54.62296	47.68978	30.47662	29.6293	32.18114	28.12538	38.86041	43.59035	40.95032	44.48925	47.94596	-0.1261	0.054	-0.0265	-1.3818	-1.6583	-0.9399999999999999	-1.80215	-1.566	-0.78315	-1.368	-1.0184	-0.5236	3	2	3	6	6	6	6	5	4	4	4	3	
[2020.09.16 09:50:02 / lib_ea_2.mqh:2427]	28497722	2020.09.16 03:50:00	105.421	105.399	105.306	105.299	105.308	105.274	105.319	105.343	105.324	105.343	105.363	105.344	1	-1	-1	-1	1	-1	1	1	-1	1	1	-1	0.023	-0.023	-0.092	-0.01	0.012	-0.035	0.046	0.028	-0.019	0.019	0.02	-0.019	3	-3	-4	-1	2	-4	4	3	-2	2	2	-2	44.20825	41.28787	29.73187	24.27811	31.47892	25.49306	35.66779	40.45516	35.526	41.11472	47.46756	43.57414	54.62296	47.68978	30.47662	29.6293	32.18114	28.12538	38.86041	43.59035	40.95032	44.48925	47.94596	45.13534	0.054	-0.0265	-1.3818	-1.6583	-0.9399999999999999	-1.80215	-1.566	-0.78315	-1.368	-1.0184	-0.5236	-0.828	2	3	6	6	6	6	5	4	4	4	3	4	
[2020.09.16 09:55:00 / lib_ea_2.mqh:2427]	28497744	2020.09.16 03:55:00	105.399	105.306	105.299	105.308	105.274	105.319	105.343	105.324	105.343	105.363	105.344	105.351	-1	-1	-1	1	-1	1	1	-1	1	1	-1	1	-0.023	-0.092	-0.01	0.012	-0.035	0.046	0.028	-0.019	0.019	0.02	-0.019	0.006	-3	-4	-1	2	-4	4	3	-2	2	2	-2	1	41.28787	29.73187	24.27811	31.47892	25.49306	35.66779	40.45516	35.526	41.11472	47.46756	43.57414	48.80997	47.68978	30.47662	29.6293	32.18114	28.12538	38.86041	43.59035	40.95032	44.48925	47.94596	45.13534	46.35489	-0.0265	-1.3818	-1.6583	-0.9399999999999999	-1.80215	-1.566	-0.78315	-1.368	-1.0184	-0.5236	-0.828	-0.56785	3	6	6	6	6	5	4	4	4	3	4	4	
[2020.09.16 10:00:02 / lib_ea_2.mqh:2427]	28497801	2020.09.16 04:00:00	105.306	105.299	105.308	105.274	105.319	105.343	105.324	105.343	105.363	105.344	105.351	105.346	-1	-1	1	-1	1	1	-1	1	1	-1	1	-1	-0.092	-0.01	0.012	-0.035	0.046	0.028	-0.019	0.019	0.02	-0.019	0.006	-0.017	-4	-1	2	-4	4	3	-2	2	2	-2	1	-2	29.73187	24.27811	31.47892	25.49306	35.66779	40.45516	35.526	41.11472	47.46756	43.57414	48.80997	52.39565	30.47662	29.6293	32.18114	28.12538	38.86041	43.59035	40.95032	44.48925	47.94596	45.13534	46.35489	45.5929	-1.3818	-1.6583	-0.9399999999999999	-1.80215	-1.566	-0.78315	-1.368	-1.0184	-0.5236	-0.828	-0.56785	-0.4444	6	6	6	6	5	4	4	4	3	4	4	4	
[2020.09.16 10:05:01 / lib_ea_2.mqh:2427]	28497853	2020.09.16 04:05:00	105.299	105.308	105.274	105.319	105.343	105.324	105.343	105.363	105.344	105.351	105.346	105.33	-1	1	-1	1	1	-1	1	1	-1	1	-1	-1	-0.01	0.012	-0.035	0.046	0.028	-0.019	0.019	0.02	-0.019	0.006	-0.017	-0.017	-1	2	-4	4	3	-2	2	2	-2	1	-2	-2	24.27811	31.47892	25.49306	35.66779	40.45516	35.526	41.11472	47.46756	43.57414	48.80997	52.39565	49.47733	29.6293	32.18114	28.12538	38.86041	43.59035	40.95032	44.48925	47.94596	45.13534	46.35489	45.5929	43.20081	-1.6583	-0.9399999999999999	-1.80215	-1.566	-0.78315	-1.368	-1.0184	-0.5236	-0.828	-0.56785	-0.4444	-0.7292999999999999	6	6	6	5	4	4	4	3	4	4	4	4	
[2020.09.16 10:10:02 / lib_ea_2.mqh:2427]	28497901	2020.09.16 04:10:00	105.308	105.274	105.319	105.343	105.324	105.343	105.363	105.344	105.351	105.346	105.33	105.362	1	-1	1	1	-1	1	1	-1	1	-1	-1	1	0.012	-0.035	0.046	0.028	-0.019	0.019	0.02	-0.019	0.006	-0.017	-0.017	0.033	2	-4	4	3	-2	2	2	-2	1	-2	-2	4	31.47892	25.49306	35.66779	40.45516	35.526	41.11472	47.46756	43.57414	48.80997	52.39565	49.47733	53.31494	32.18114	28.12538	38.86041	43.59035	40.95032	44.48925	47.94596	45.13534	46.35489	45.5929	43.20081	48.85053	-0.9399999999999999	-1.80215	-1.566	-0.78315	-1.368	-1.0184	-0.5236	-0.828	-0.56785	-0.4444	-0.7292999999999999	-0.16995	6	6	5	4	4	4	3	4	4	4	4	3	
[2020.09.16 10:15:01 / lib_ea_2.mqh:2427]	28498032	2020.09.16 04:15:00	105.274	105.319	105.343	105.324	105.343	105.363	105.344	105.351	105.346	105.33	105.362	105.329	-1	1	1	-1	1	1	-1	1	-1	-1	1	-1	-0.035	0.046	0.028	-0.019	0.019	0.02	-0.019	0.006	-0.017	-0.017	0.033	-0.034	-4	4	3	-2	2	2	-2	1	-2	-2	4	-4	25.49306	35.66779	40.45516	35.526	41.11472	47.46756	43.57414	48.80997	52.39565	49.47733	53.31494	50.57525	28.12538	38.86041	43.59035	40.95032	44.48925	47.94596	45.13534	46.35489	45.5929	43.20081	48.85053	44.0899	-1.80215	-1.566	-0.78315	-1.368	-1.0184	-0.5236	-0.828	-0.56785	-0.4444	-0.7292999999999999	-0.16995	-0.47	6	5	4	4	4	3	4	4	4	4	3	4	
[2020.09.16 10:20:01 / lib_ea_2.mqh:2427]	28498080	2020.09.16 04:20:00	105.319	105.343	105.324	105.343	105.363	105.344	105.351	105.346	105.33	105.362	105.329	105.31	1	1	-1	1	1	-1	1	-1	-1	1	-1	-1	0.046	0.028	-0.019	0.019	0.02	-0.019	0.006	-0.017	-0.017	0.033	-0.034	-0.018	4	3	-2	2	2	-2	1	-2	-2	4	-4	-2	35.66779	40.45516	35.526	41.11472	47.46756	43.57414	48.80997	52.39565	49.47733	53.31494	50.57525	47.96656	38.86041	43.59035	40.95032	44.48925	47.94596	45.13534	46.35489	45.5929	43.20081	48.85053	44.0899	41.63107	-1.566	-0.78315	-1.368	-1.0184	-0.5236	-0.828	-0.56785	-0.4444	-0.7292999999999999	-0.16995	-0.47	-1.0519	5	4	4	4	3	4	4	4	4	3	4	4	
[2020.09.16 10:25:03 / lib_ea_2.mqh:2427]	28498115	2020.09.16 04:25:00	105.343	105.324	105.343	105.363	105.344	105.351	105.346	105.33	105.362	105.329	105.31	105.313	1	-1	1	1	-1	1	-1	-1	1	-1	-1	1	0.028	-0.019	0.019	0.02	-0.019	0.006	-0.017	-0.017	0.033	-0.034	-0.018	0.007	3	-2	2	2	-2	1	-2	-2	4	-4	-2	1	40.45516	35.526	41.11472	47.46756	43.57414	48.80997	52.39565	49.47733	53.31494	50.57525	47.96656	50.98916	43.59035	40.95032	44.48925	47.94596	45.13534	46.35489	45.5929	43.20081	48.85053	44.0899	41.63107	42.16713	-0.78315	-1.368	-1.0184	-0.5236	-0.828	-0.56785	-0.4444	-0.7292999999999999	-0.16995	-0.47	-1.0519	-0.6148	4	4	4	3	4	4	4	4	3	4	4	4	
[2020.09.16 10:30:00 / lib_ea_2.mqh:2427]	28498163	2020.09.16 04:30:00	105.324	105.343	105.363	105.344	105.351	105.346	105.33	105.362	105.329	105.31	105.313	105.282	-1	1	1	-1	1	-1	-1	1	-1	-1	1	-1	-0.019	0.019	0.02	-0.019	0.006	-0.017	-0.017	0.033	-0.034	-0.018	0.007	-0.031	-2	2	2	-2	1	-2	-2	4	-4	-2	1	-4	35.526	41.11472	47.46756	43.57414	48.80997	52.39565	49.47733	53.31494	50.57525	47.96656	50.98916	46.22701	40.95032	44.48925	47.94596	45.13534	46.35489	45.5929	43.20081	48.85053	44.0899	41.63107	42.16713	38.33741	-1.368	-1.0184	-0.5236	-0.828	-0.56785	-0.4444	-0.7292999999999999	-0.16995	-0.47	-1.0519	-0.6148	-2.2852	4	4	3	4	4	4	4	3	4	4	4	5	
