[09/26/2020 16:06:23 / FxUtilitiesController.php:574]
symbol	AUDJPY
period	5
dp	dp_2__All_True
this file	[ea-4_tester-1].(20200909_115319).(tickets-data).log

combined file(this)	[ea-4_tester-1].(20200507_140530).(combined-data).(20200926_160623_973119).dat
dpath	C:\Users\iwabuchiken\AppData\Roaming\MetaQuotes\Terminal\34B08C83A5AAE27A4079DE708E60511E\MQL4\Files\Logs\20200909_115319[eap-2.id-1].[AUDJPY-5].dir
order_type	buy
account : 	20117921

s.n.	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	ticket	open-time	type	size	item	price	SL	TP	close-time	price	profit
1	28391702	2020.09.09 05:55:00	76.47799999999999	76.402	76.432	76.492	76.452	76.441	76.467	76.446	76.449	76.447	76.45999999999999	76.47	1	-1	1	1	-1	-1	1	-1	1	-1	1	1	0.021	-0.078	0.029	0.06	-0.045	-0.011	0.026	-0.019	0.003	-0.003	0.012	0.01	3	-4	3	4	-4	-2	3	-2	1	-1	2	2	61.98793	56.17322	55.69993	55.76919	51.35613	46.74926	50.70334	51.77874	47.09488	48.41099	54.04495	60.28544	55.7778	47.68364	50.65876	55.93438	52.03042	51.00002	53.301	51.25468	51.53448	51.32773	52.6281	53.63119	1.2369	-0.02125	0.59015	0.656	-0.5417999999999999	-0.594	-0.22185	0.0291	-0.1995	0.27	1.36285	0.8854	3	5	4	2	3	4	3	3	3	3	3	3	28391702	2020.09.09 05:55:00	buy	0.10	audjpy	76.478	76.480	76.630	2020.09.09 06:26:07	76.480	20
2	28391728	2020.09.09 06:00:00	76.402	76.432	76.492	76.452	76.441	76.467	76.446	76.449	76.447	76.45999999999999	76.47	76.47499999999999	-1	1	1	-1	-1	1	-1	1	-1	1	1	1	-0.078	0.029	0.06	-0.045	-0.011	0.026	-0.019	0.003	-0.003	0.012	0.01	0.004	-4	3	4	-4	-2	3	-2	1	-1	2	2	1	56.17322	55.69993	55.76919	51.35613	46.74926	50.70334	51.77874	47.09488	48.41099	54.04495	60.28544	58.86747	47.68364	50.65876	55.93438	52.03042	51.00002	53.301	51.25468	51.53448	51.32773	52.6281	53.63119	54.14227	-0.02125	0.59015	0.656	-0.5417999999999999	-0.594	-0.22185	0.0291	-0.1995	0.27	1.36285	0.8854	0.74095	5	4	2	3	4	3	3	3	3	3	3	3	28391728	2020.09.09 06:00:01	buy	0.10	audjpy	76.491	76.507	76.657	2020.09.09 07:41:47	76.507	160
3	28391758	2020.09.09 06:05:00	76.432	76.492	76.452	76.441	76.467	76.446	76.449	76.447	76.45999999999999	76.47	76.47499999999999	76.486	1	1	-1	-1	1	-1	1	-1	1	1	1	1	0.029	0.06	-0.045	-0.011	0.026	-0.019	0.003	-0.003	0.012	0.01	0.004	0.008	3	4	-4	-2	3	-2	1	-1	2	2	1	1	55.69993	55.76919	51.35613	46.74926	50.70334	51.77874	47.09488	48.41099	54.04495	60.28544	58.86747	57.96457	50.65876	55.93438	52.03042	51.00002	53.301	51.25468	51.53448	51.32773	52.6281	53.63119	54.14227	55.28362	0.59015	0.656	-0.5417999999999999	-0.594	-0.22185	0.0291	-0.1995	0.27	1.36285	0.8854	0.74095	0.73125	4	2	3	4	3	3	3	3	3	3	3	2	28391758	2020.09.09 06:05:01	buy	0.10	audjpy	76.494	76.507	76.657	2020.09.09 07:41:47	76.507	130
4	28391794	2020.09.09 06:10:00	76.492	76.452	76.441	76.467	76.446	76.449	76.447	76.45999999999999	76.47	76.47499999999999	76.486	76.495	1	-1	-1	1	-1	1	-1	1	1	1	1	1	0.06	-0.045	-0.011	0.026	-0.019	0.003	-0.003	0.012	0.01	0.004	0.008	0.008999999999999999	4	-4	-2	3	-2	1	-1	2	2	1	1	1	55.76919	51.35613	46.74926	50.70334	51.77874	47.09488	48.41099	54.04495	60.28544	58.86747	57.96457	58.14437	55.93438	52.03042	51.00002	53.301	51.25468	51.53448	51.32773	52.6281	53.63119	54.14227	55.28362	56.22203	0.656	-0.5417999999999999	-0.594	-0.22185	0.0291	-0.1995	0.27	1.36285	0.8854	0.74095	0.73125	0.86595	2	3	4	3	3	3	3	3	3	3	2	2	28391794	2020.09.09 06:10:04	buy	0.10	audjpy	76.504	76.507	76.657	2020.09.09 07:41:47	76.507	30
5	28391826	2020.09.09 06:15:00	76.452	76.441	76.467	76.446	76.449	76.447	76.45999999999999	76.47	76.47499999999999	76.486	76.495	76.492	-1	-1	1	-1	1	-1	1	1	1	1	1	-1	-0.045	-0.011	0.026	-0.019	0.003	-0.003	0.012	0.01	0.004	0.008	0.008999999999999999	-0.003	-4	-2	3	-2	1	-1	2	2	1	1	1	-1	51.35613	46.74926	50.70334	51.77874	47.09488	48.41099	54.04495	60.28544	58.86747	57.96457	58.14437	52.9563	52.03042	51.00002	53.301	51.25468	51.53448	51.32773	52.6281	53.63119	54.14227	55.28362	56.22203	55.81107	-0.5417999999999999	-0.594	-0.22185	0.0291	-0.1995	0.27	1.36285	0.8854	0.74095	0.73125	0.86595	0.59175	3	4	3	3	3	3	3	3	3	2	2	2	28391826	2020.09.09 06:15:01	buy	0.10	audjpy	76.500	76.507	76.657	2020.09.09 07:41:47	76.507	70
6	28391878	2020.09.09 06:20:00	76.441	76.467	76.446	76.449	76.447	76.45999999999999	76.47	76.47499999999999	76.486	76.495	76.492	76.526	-1	1	-1	1	-1	1	1	1	1	1	-1	1	-0.011	0.026	-0.019	0.003	-0.003	0.012	0.01	0.004	0.008	0.008999999999999999	-0.003	0.033	-2	3	-2	1	-1	2	2	1	1	1	-1	4	46.74926	50.70334	51.77874	47.09488	48.41099	54.04495	60.28544	58.86747	57.96457	58.14437	52.9563	51.05011	51.00002	53.301	51.25468	51.53448	51.32773	52.6281	53.63119	54.14227	55.28362	56.22203	55.81107	59.35537	-0.594	-0.22185	0.0291	-0.1995	0.27	1.36285	0.8854	0.74095	0.73125	0.86595	0.59175	0.5724	4	3	3	3	3	3	3	3	2	2	2	1	28391878	2020.09.09 06:20:01	buy	0.10	audjpy	76.531	76.474	76.624	2020.09.09 06:26:42	76.474	-570
7	28392022	2020.09.09 06:25:00	76.467	76.446	76.449	76.447	76.45999999999999	76.47	76.47499999999999	76.486	76.495	76.492	76.526	76.498	1	-1	1	-1	1	1	1	1	1	-1	1	-1	0.026	-0.019	0.003	-0.003	0.012	0.01	0.004	0.008	0.008999999999999999	-0.003	0.033	-0.026	3	-2	1	-1	2	2	1	1	1	-1	4	-3	50.70334	51.77874	47.09488	48.41099	54.04495	60.28544	58.86747	57.96457	58.14437	52.9563	51.05011	48.59032	53.301	51.25468	51.53448	51.32773	52.6281	53.63119	54.14227	55.28362	56.22203	55.81107	59.35537	55.49668	-0.22185	0.0291	-0.1995	0.27	1.36285	0.8854	0.74095	0.73125	0.86595	0.59175	0.5724	0.5304	3	3	3	3	3	3	3	2	2	2	1	2	28392022	2020.09.09 06:25:03	buy	0.10	audjpy	76.505	76.507	76.657	2020.09.09 07:41:47	76.507	20
8	28392054	2020.09.09 06:30:00	76.446	76.449	76.447	76.45999999999999	76.47	76.47499999999999	76.486	76.495	76.492	76.526	76.498	76.48099999999999	-1	1	-1	1	1	1	1	1	-1	1	-1	-1	-0.019	0.003	-0.003	0.012	0.01	0.004	0.008	0.008999999999999999	-0.003	0.033	-0.026	-0.017	-2	1	-1	2	2	1	1	1	-1	4	-3	-2	51.77874	47.09488	48.41099	54.04495	60.28544	58.86747	57.96457	58.14437	52.9563	51.05011	48.59032	43.18906	51.25468	51.53448	51.32773	52.6281	53.63119	54.14227	55.28362	56.22203	55.81107	59.35537	55.49668	53.2829	0.0291	-0.1995	0.27	1.36285	0.8854	0.74095	0.73125	0.86595	0.59175	0.5724	0.5304	0.0117	3	3	3	3	3	3	2	2	2	1	2	3	28392054	2020.09.09 06:30:00	buy	0.10	audjpy	76.483	76.507	76.657	2020.09.09 07:41:47	76.507	240
9	28392083	2020.09.09 06:35:00	76.449	76.447	76.45999999999999	76.47	76.47499999999999	76.486	76.495	76.492	76.526	76.498	76.48099999999999	76.471	1	-1	1	1	1	1	1	-1	1	-1	-1	-1	0.003	-0.003	0.012	0.01	0.004	0.008	0.008999999999999999	-0.003	0.033	-0.026	-0.017	-0.006	1	-1	2	2	1	1	1	-1	4	-3	-2	-1	47.09488	48.41099	54.04495	60.28544	58.86747	57.96457	58.14437	52.9563	51.05011	48.59032	43.18906	43.60735	51.53448	51.32773	52.6281	53.63119	54.14227	55.28362	56.22203	55.81107	59.35537	55.49668	53.2829	51.99854	-0.1995	0.27	1.36285	0.8854	0.74095	0.73125	0.86595	0.59175	0.5724	0.5304	0.0117	0.1476	3	3	3	3	3	2	2	2	1	2	3	3	28392083	2020.09.09 06:35:01	buy	0.10	audjpy	76.480	76.507	76.657	2020.09.09 07:41:47	76.507	270
10	28392122	2020.09.09 06:40:00	76.447	76.45999999999999	76.47	76.47499999999999	76.486	76.495	76.492	76.526	76.498	76.48099999999999	76.471	76.47499999999999	-1	1	1	1	1	1	-1	1	-1	-1	-1	1	-0.003	0.012	0.01	0.004	0.008	0.008999999999999999	-0.003	0.033	-0.026	-0.017	-0.006	0.003	-1	2	2	1	1	1	-1	4	-3	-2	-1	1	48.41099	54.04495	60.28544	58.86747	57.96457	58.14437	52.9563	51.05011	48.59032	43.18906	43.60735	40.99707	51.32773	52.6281	53.63119	54.14227	55.28362	56.22203	55.81107	59.35537	55.49668	53.2829	51.99854	52.48083	0.27	1.36285	0.8854	0.74095	0.73125	0.86595	0.59175	0.5724	0.5304	0.0117	0.1476	-0.02355	3	3	3	3	2	2	2	1	2	3	3	3	28392122	2020.09.09 06:40:06	buy	0.10	audjpy	76.484	76.507	76.657	2020.09.09 07:41:47	76.507	230
