[09/30/2020 16:26:35 / FxUtilitiesController.php:757]
symbol	AUDJPY
period	5
dp	dp_2__All_True
this file	[ea-4_tester-1].(20200911_045656).(tickets-data).log

combined file(this)	[ea-4_tester-1].(20200507_140530).(combined-data).(20200930_162635_464843).dat
dpath	C:\Users\iwabuchiken\AppData\Roaming\MetaQuotes\Terminal\34B08C83A5AAE27A4079DE708E60511E\MQL4\Files\Logs\20200911_045656[eap-2.id-1].[AUDJPY-5].dir
order_type	buy
account : 	20117921

s.n.	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	ticket	open-time	type	size	item	price	SL	TP	close-time	price	profit
1	28438433	2020.09.10 23:00:00	77.07299999999999	77.05	77.01900000000001	76.952	76.95399999999999	76.986	77.006	76.989	77.015	76.964	76.97499999999999	76.95099999999999	-1	-1	-1	-1	1	1	1	-1	1	-1	1	-1	-0.035	-0.024	-0.029	-0.066	0.001	0.032	0.023	-0.018	0.027	-0.05	0.012	-0.024	-4	-3	-3	-4	1	4	3	-2	3	-4	2	-3	33.94897	33.1024	28.69647	27.73388	26.96166	32.21984	37.56421	37.01716	36.85738	36.16289	35.66414	35.64394	36.43107	35.13323	33.44291	30.14354	30.35942	33.80481	35.89145	34.90692	37.65992	34.63535	35.80587	34.39144	-7.14	-7.82425	-7.8563	-11.63135	-9.5944	-10.7756	-9.1656	-8.265000000000001	-5.846	-9.0915	-6.59435	-5.55775	5	5	5	5	5	5	5	5	4	5	5	5	28438433	2020.09.10 23:00:01	buy	0.10	audjpy	76.967	76.989	77.139	2020.09.11 00:07:09	76.989	220
2	28438484	2020.09.10 23:05:00	77.05	77.01900000000001	76.952	76.95399999999999	76.986	77.006	76.989	77.015	76.964	76.97499999999999	76.95099999999999	76.955	-1	-1	-1	1	1	1	-1	1	-1	1	-1	1	-0.024	-0.029	-0.066	0.001	0.032	0.023	-0.018	0.027	-0.05	0.012	-0.024	0.004	-3	-3	-4	1	4	3	-2	3	-4	2	-3	1	33.1024	28.69647	27.73388	26.96166	32.21984	37.56421	37.01716	36.85738	36.16289	35.66414	35.64394	36.60276	35.13323	33.44291	30.14354	30.35942	33.80481	35.89145	34.90692	37.65992	34.63535	35.80587	34.39144	34.843	-7.82425	-7.8563	-11.63135	-9.5944	-10.7756	-9.1656	-8.265000000000001	-5.846	-9.0915	-6.59435	-5.55775	-2.12925	5	5	5	5	5	5	5	4	5	5	5	5	28438484	2020.09.10 23:05:05	buy	0.10	audjpy	76.963	76.989	77.139	2020.09.11 00:07:09	76.989	260
3	28438514	2020.09.10 23:10:00	77.01900000000001	76.952	76.95399999999999	76.986	77.006	76.989	77.015	76.964	76.97499999999999	76.95099999999999	76.955	76.974	-1	-1	1	1	1	-1	1	-1	1	-1	1	1	-0.029	-0.066	0.001	0.032	0.023	-0.018	0.027	-0.05	0.012	-0.024	0.004	0.021	-3	-4	1	4	3	-2	3	-4	2	-3	1	3	28.69647	27.73388	26.96166	32.21984	37.56421	37.01716	36.85738	36.16289	35.66414	35.64394	36.60276	39.87278	33.44291	30.14354	30.35942	33.80481	35.89145	34.90692	37.65992	34.63535	35.80587	34.39144	34.843	37.01065	-7.8563	-11.63135	-9.5944	-10.7756	-9.1656	-8.265000000000001	-5.846	-9.0915	-6.59435	-5.55775	-2.12925	-0.66555	5	5	5	5	5	5	4	5	5	5	5	4	28438514	2020.09.10 23:10:00	buy	0.10	audjpy	76.986	76.989	77.139	2020.09.11 00:07:09	76.989	30
4	28438546	2020.09.10 23:15:00	76.952	76.95399999999999	76.986	77.006	76.989	77.015	76.964	76.97499999999999	76.95099999999999	76.955	76.974	76.983	-1	1	1	1	-1	1	-1	1	-1	1	1	1	-0.066	0.001	0.032	0.023	-0.018	0.027	-0.05	0.012	-0.024	0.004	0.021	0.007	-4	1	4	3	-2	3	-4	2	-3	1	3	1	27.73388	26.96166	32.21984	37.56421	37.01716	36.85738	36.16289	35.66414	35.64394	36.60276	39.87278	36.91553	30.14354	30.35942	33.80481	35.89145	34.90692	37.65992	34.63535	35.80587	34.39144	34.843	37.01065	38.03847	-11.63135	-9.5944	-10.7756	-9.1656	-8.265000000000001	-5.846	-9.0915	-6.59435	-5.55775	-2.12925	-0.66555	-1.7582	5	5	5	5	5	4	5	5	5	5	4	4	28438546	2020.09.10 23:15:01	buy	0.10	audjpy	76.994	76.989	77.139	2020.09.11 00:07:09	76.989	-50
5	28438581	2020.09.10 23:20:00	76.95399999999999	76.986	77.006	76.989	77.015	76.964	76.97499999999999	76.95099999999999	76.955	76.974	76.983	76.992	1	1	1	-1	1	-1	1	-1	1	1	1	1	0.001	0.032	0.023	-0.018	0.027	-0.05	0.012	-0.024	0.004	0.021	0.007	0.008999999999999999	1	4	3	-2	3	-4	2	-3	1	3	1	1	26.96166	32.21984	37.56421	37.01716	36.85738	36.16289	35.66414	35.64394	36.60276	39.87278	36.91553	33.9502	30.35942	33.80481	35.89145	34.90692	37.65992	34.63535	35.80587	34.39144	34.843	37.01065	38.03847	39.08476	-9.5944	-10.7756	-9.1656	-8.265000000000001	-5.846	-9.0915	-6.59435	-5.55775	-2.12925	-0.66555	-1.7582	-0.7392	5	5	5	5	4	5	5	5	5	4	4	4	28438581	2020.09.10 23:20:03	buy	0.10	audjpy	77.003	76.942	77.092	2020.09.11 00:07:59	76.942	-610
6	28438615	2020.09.10 23:25:00	76.986	77.006	76.989	77.015	76.964	76.97499999999999	76.95099999999999	76.955	76.974	76.983	76.992	77.00700000000001	1	1	-1	1	-1	1	-1	1	1	1	1	1	0.032	0.023	-0.018	0.027	-0.05	0.012	-0.024	0.004	0.021	0.007	0.008999999999999999	0.015	4	3	-2	3	-4	2	-3	1	3	1	1	2	32.21984	37.56421	37.01716	36.85738	36.16289	35.66414	35.64394	36.60276	39.87278	36.91553	33.9502	36.62109	33.80481	35.89145	34.90692	37.65992	34.63535	35.80587	34.39144	34.843	37.01065	38.03847	39.08476	40.83743	-10.7756	-9.1656	-8.265000000000001	-5.846	-9.0915	-6.59435	-5.55775	-2.12925	-0.66555	-1.7582	-0.7392	-0.34425	5	5	5	4	5	5	5	5	4	4	4	4	28438615	2020.09.10 23:25:02	buy	0.10	audjpy	77.017	76.957	77.107	2020.09.11 00:07:59	76.957	-600
7	28438673	2020.09.10 23:30:00	77.006	76.989	77.015	76.964	76.97499999999999	76.95099999999999	76.955	76.974	76.983	76.992	77.00700000000001	76.998	1	-1	1	-1	1	-1	1	1	1	1	1	-1	0.023	-0.018	0.027	-0.05	0.012	-0.024	0.004	0.021	0.007	0.008999999999999999	0.015	-0.008999999999999999	3	-2	3	-4	2	-3	1	3	1	1	2	-1	37.56421	37.01716	36.85738	36.16289	35.66414	35.64394	36.60276	39.87278	36.91553	33.9502	36.62109	31.85489	35.89145	34.90692	37.65992	34.63535	35.80587	34.39144	34.843	37.01065	38.03847	39.08476	40.83743	40.10858	-9.1656	-8.265000000000001	-5.846	-9.0915	-6.59435	-5.55775	-2.12925	-0.66555	-1.7582	-0.7392	-0.34425	-0.93345	5	5	4	5	5	5	5	4	4	4	4	4	28438673	2020.09.10 23:30:01	buy	0.10	audjpy	77.009	76.948	77.098	2020.09.11 00:07:59	76.948	-610
8	28438697	2020.09.10 23:35:00	76.989	77.015	76.964	76.97499999999999	76.95099999999999	76.955	76.974	76.983	76.992	77.00700000000001	76.998	77.01300000000001	-1	1	-1	1	-1	1	1	1	1	1	-1	1	-0.018	0.027	-0.05	0.012	-0.024	0.004	0.021	0.007	0.008999999999999999	0.015	-0.008999999999999999	0.015	-2	3	-4	2	-3	1	3	1	1	2	-1	2	37.01716	36.85738	36.16289	35.66414	35.64394	36.60276	39.87278	36.91553	33.9502	36.62109	31.85489	28.66069	34.90692	37.65992	34.63535	35.80587	34.39144	34.843	37.01065	38.03847	39.08476	40.83743	40.10858	41.92694	-8.265000000000001	-5.846	-9.0915	-6.59435	-5.55775	-2.12925	-0.66555	-1.7582	-0.7392	-0.34425	-0.93345	-0.6206	5	4	5	5	5	5	4	4	4	4	4	3	28438697	2020.09.10 23:35:01	buy	0.10	audjpy	77.027	76.962	77.112	2020.09.11 00:07:59	76.962	-650
9	28438830	2020.09.10 23:40:00	77.015	76.964	76.97499999999999	76.95099999999999	76.955	76.974	76.983	76.992	77.00700000000001	76.998	77.01300000000001	77.017	1	-1	1	-1	1	1	1	1	1	-1	1	1	0.027	-0.05	0.012	-0.024	0.004	0.021	0.007	0.008999999999999999	0.015	-0.008999999999999999	0.015	0.005	3	-4	2	-3	1	3	1	1	2	-1	2	1	36.85738	36.16289	35.66414	35.64394	36.60276	39.87278	36.91553	33.9502	36.62109	31.85489	28.66069	31.3184	37.65992	34.63535	35.80587	34.39144	34.843	37.01065	38.03847	39.08476	40.83743	40.10858	41.92694	42.41768	-5.846	-9.0915	-6.59435	-5.55775	-2.12925	-0.66555	-1.7582	-0.7392	-0.34425	-0.93345	-0.6206	-0.3128	4	5	5	5	5	4	4	4	4	4	3	3	28438830	2020.09.10 23:40:01	buy	0.10	audjpy	77.034	76.968	77.118	2020.09.11 00:07:09	76.968	-660
10	28438864	2020.09.10 23:40:00	77.015	76.964	76.97499999999999	76.95099999999999	76.955	76.974	76.983	76.992	77.00700000000001	76.998	77.01300000000001	77.017	1	-1	1	-1	1	1	1	1	1	-1	1	1	0.027	-0.05	0.012	-0.024	0.004	0.021	0.007	0.008999999999999999	0.015	-0.008999999999999999	0.015	0.005	3	-4	2	-3	1	3	1	1	2	-1	2	1	36.85738	36.16289	35.66414	35.64394	36.60276	39.87278	36.91553	33.9502	36.62109	31.85489	28.66069	31.3184	37.65992	34.63535	35.80587	34.39144	34.843	37.01065	38.03847	39.08476	40.83743	40.10858	41.92694	42.41768	-5.846	-9.0915	-6.59435	-5.55775	-2.12925	-0.66555	-1.7582	-0.7392	-0.34425	-0.93345	-0.6206	-0.3128	4	5	5	5	5	4	4	4	4	4	3	3	28438864	2020.09.10 23:45:02	buy	0.10	audjpy	77.038	76.977	77.127	2020.09.11 00:07:09	76.977	-610
