[2020.09.17 08:30:09 / lib_ea_2.mqh:1973][lib_ea_2.mqh:1961] op_Post_Take_Position
[lib_ea_2.mqh:1966]
symbol	USDJPY
period	5
dp	dp_2__All_True
this file	[ea-6_tester-1].(20200917_083009).(tickets-data).log

[2020.09.17 08:30:09 / lib_ea_2.mqh:2122]	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	
[2020.09.17 08:34:50 / lib_ea_2.mqh:2427]	28518886	2020.09.17 02:35:00	104.986	104.997	104.994	104.987	104.991	105.005	105.002	105.019	105.033	105.039	105.039	105.012	1	1	-1	-1	1	1	-1	1	1	1	1	-1	0.008999999999999999	0.012	-0.002	-0.008	0.005	0.016	-0.001	0.016	0.013	0.006	0.002	-0.028	1	2	-1	-1	1	2	-1	2	2	1	1	-3	36.99697	38.31994	49.49823	68.04109	57.86503	59.72204	59.87944	61.89047	64.81842	68.12613	66.8994	70.22322	53.773	55.24796	54.74649	53.5526	54.15398	56.24133	55.66961	58.20395	60.17749	61.00808	61.00808	55.26107	0.03	0.117	0.4524	0.2706	0.188	0.273	0.0738	0.2491	0.24675	0.1798	0.2275	0.2242	2	1	2	2	2	2	2	2	2	2	2	3	
[2020.09.17 08:39:45 / lib_ea_2.mqh:2427]	28518913	2020.09.17 02:40:00	104.997	104.994	104.987	104.991	105.005	105.002	105.019	105.033	105.039	105.039	105.012	105.033	1	-1	-1	1	1	-1	1	1	1	1	-1	1	0.012	-0.002	-0.008	0.005	0.016	-0.001	0.016	0.013	0.006	0.002	-0.028	0.017	2	-1	-1	1	2	-1	2	2	1	1	-3	2	38.31994	49.49823	68.04109	57.86503	59.72204	59.87944	61.89047	64.81842	68.12613	66.8994	70.22322	74.63744	55.24796	54.74649	53.5526	54.15398	56.24133	55.66961	58.20395	60.17749	61.00808	61.00808	55.26107	58.46444	0.117	0.4524	0.2706	0.188	0.273	0.0738	0.2491	0.24675	0.1798	0.2275	0.2242	0.43165	1	2	2	2	2	2	2	2	2	2	3	2	
[2020.09.17 08:44:43 / lib_ea_2.mqh:2427]	28518930	2020.09.17 02:45:00	104.994	104.987	104.991	105.005	105.002	105.019	105.033	105.039	105.039	105.012	105.033	105.02	-1	-1	1	1	-1	1	1	1	1	-1	1	-1	-0.002	-0.008	0.005	0.016	-0.001	0.016	0.013	0.006	0.002	-0.028	0.017	-0.013	-1	-1	1	2	-1	2	2	1	1	-3	2	-2	49.49823	68.04109	57.86503	59.72204	59.87944	61.89047	64.81842	68.12613	66.8994	70.22322	74.63744	78.55844	54.74649	53.5526	54.15398	56.24133	55.66961	58.20395	60.17749	61.00808	61.00808	55.26107	58.46444	55.85823	0.4524	0.2706	0.188	0.273	0.0738	0.2491	0.24675	0.1798	0.2275	0.2242	0.43165	0.348	2	2	2	2	2	2	2	2	2	3	2	3	
[2020.09.17 08:49:50 / lib_ea_2.mqh:2427]	28518954	2020.09.17 02:50:00	104.987	104.991	105.005	105.002	105.019	105.033	105.039	105.039	105.012	105.033	105.02	105.029	-1	1	1	-1	1	1	1	1	-1	1	-1	1	-0.008	0.005	0.016	-0.001	0.016	0.013	0.006	0.002	-0.028	0.017	-0.013	0.008999999999999999	-1	1	2	-1	2	2	1	1	-3	2	-2	1	68.04109	57.86503	59.72204	59.87944	61.89047	64.81842	68.12613	66.8994	70.22322	74.63744	78.55844	79.19014	53.5526	54.15398	56.24133	55.66961	58.20395	60.17749	61.00808	61.00808	55.26107	58.46444	55.85823	57.24709	0.2706	0.188	0.273	0.0738	0.2491	0.24675	0.1798	0.2275	0.2242	0.43165	0.348	0.5952	2	2	2	2	2	2	2	2	3	2	3	2	
[2020.09.17 08:54:43 / lib_ea_2.mqh:2427]	28518983	2020.09.17 02:55:00	104.991	105.005	105.002	105.019	105.033	105.039	105.039	105.012	105.033	105.02	105.029	105.055	1	1	-1	1	1	1	1	-1	1	-1	1	1	0.005	0.016	-0.001	0.016	0.013	0.006	0.002	-0.028	0.017	-0.013	0.008999999999999999	0.027	1	2	-1	2	2	1	1	-3	2	-2	1	3	57.86503	59.72204	59.87944	61.89047	64.81842	68.12613	66.8994	70.22322	74.63744	78.55844	79.19014	79.66493	54.15398	56.24133	55.66961	58.20395	60.17749	61.00808	61.00808	55.26107	58.46444	55.85823	57.24709	60.98044	0.188	0.273	0.0738	0.2491	0.24675	0.1798	0.2275	0.2242	0.43165	0.348	0.5952	0.4452	2	2	2	2	2	2	2	3	2	3	2	2	
[2020.09.17 08:59:43 / lib_ea_2.mqh:2427]	28519038	2020.09.17 03:00:00	105.005	105.002	105.019	105.033	105.039	105.039	105.012	105.033	105.02	105.029	105.055	105.06	1	-1	1	1	1	1	-1	1	-1	1	1	1	0.016	-0.001	0.016	0.013	0.006	0.002	-0.028	0.017	-0.013	0.008999999999999999	0.027	0.006	2	-1	2	2	1	1	-3	2	-2	1	3	1	59.72204	59.87944	61.89047	64.81842	68.12613	66.8994	70.22322	74.63744	78.55844	79.19014	79.66493	79.5887	56.24133	55.66961	58.20395	60.17749	61.00808	61.00808	55.26107	58.46444	55.85823	57.24709	60.98044	61.6582	0.273	0.0738	0.2491	0.24675	0.1798	0.2275	0.2242	0.43165	0.348	0.5952	0.4452	0.5203	2	2	2	2	2	2	3	2	3	2	2	2	
[2020.09.17 09:04:52 / lib_ea_2.mqh:2427]	28519168	2020.09.17 03:05:00	105.002	105.019	105.033	105.039	105.039	105.012	105.033	105.02	105.029	105.055	105.06	104.999	-1	1	1	1	1	-1	1	-1	1	1	1	-1	-0.001	0.016	0.013	0.006	0.002	-0.028	0.017	-0.013	0.008999999999999999	0.027	0.006	-0.06	-1	2	2	1	1	-3	2	-2	1	3	1	-4	59.87944	61.89047	64.81842	68.12613	66.8994	70.22322	74.63744	78.55844	79.19014	79.66493	79.5887	70.38892	55.66961	58.20395	60.17749	61.00808	61.00808	55.26107	58.46444	55.85823	57.24709	60.98044	61.6582	50.41285	0.0738	0.2491	0.24675	0.1798	0.2275	0.2242	0.43165	0.348	0.5952	0.4452	0.5203	0.9675	2	2	2	2	2	3	2	3	2	2	2	4	
[2020.09.17 09:09:43 / lib_ea_2.mqh:2427]	28519300	2020.09.17 03:10:00	105.019	105.033	105.039	105.039	105.012	105.033	105.02	105.029	105.055	105.06	104.999	105.004	1	1	1	1	-1	1	-1	1	1	1	-1	1	0.016	0.013	0.006	0.002	-0.028	0.017	-0.013	0.008999999999999999	0.027	0.006	-0.06	0.005	2	2	1	1	-3	2	-2	1	3	1	-4	1	61.89047	64.81842	68.12613	66.8994	70.22322	74.63744	78.55844	79.19014	79.66493	79.5887	70.38892	60.84498	58.20395	60.17749	61.00808	61.00808	55.26107	58.46444	55.85823	57.24709	60.98044	61.6582	50.41285	51.18107	0.2491	0.24675	0.1798	0.2275	0.2242	0.43165	0.348	0.5952	0.4452	0.5203	0.9675	0.3552	2	2	2	2	3	2	3	2	2	2	4	4	
[2020.09.17 09:14:43 / lib_ea_2.mqh:2427]	28519358	2020.09.17 03:15:00	105.033	105.039	105.039	105.012	105.033	105.02	105.029	105.055	105.06	104.999	105.004	104.972	1	1	1	-1	1	-1	1	1	1	-1	1	-1	0.013	0.006	0.002	-0.028	0.017	-0.013	0.008999999999999999	0.027	0.006	-0.06	0.005	-0.031	2	1	1	-3	2	-2	1	3	1	-4	1	-4	64.81842	68.12613	66.8994	70.22322	74.63744	78.55844	79.19014	79.66493	79.5887	70.38892	60.84498	52.70941	60.17749	61.00808	61.00808	55.26107	58.46444	55.85823	57.24709	60.98044	61.6582	50.41285	51.18107	46.34415	0.24675	0.1798	0.2275	0.2242	0.43165	0.348	0.5952	0.4452	0.5203	0.9675	0.3552	-0.0489	2	2	2	3	2	3	2	2	2	4	4	5	
[2020.09.17 09:19:43 / lib_ea_2.mqh:2427]	28519506	2020.09.17 03:15:00	105.033	105.039	105.039	105.012	105.033	105.02	105.029	105.055	105.06	104.999	105.004	104.972	1	1	1	-1	1	-1	1	1	1	-1	1	-1	0.013	0.006	0.002	-0.028	0.017	-0.013	0.008999999999999999	0.027	0.006	-0.06	0.005	-0.031	2	1	1	-3	2	-2	1	3	1	-4	1	-4	64.81842	68.12613	66.8994	70.22322	74.63744	78.55844	79.19014	79.66493	79.5887	70.38892	60.84498	52.70941	60.17749	61.00808	61.00808	55.26107	58.46444	55.85823	57.24709	60.98044	61.6582	50.41285	51.18107	46.34415	0.24675	0.1798	0.2275	0.2242	0.43165	0.348	0.5952	0.4452	0.5203	0.9675	0.3552	-0.0489	2	2	2	3	2	3	2	2	2	4	4	5	
