[09/16/2020 13:47:00 / FxUtilitiesController.php:326]
symbol	USDJPY
period	5
dp	dp_2__All_True
this file	[ea-6_tester-1].(20200911_181722).(tickets-data).log

combined file(this)	[ea-4_tester-1].(20200507_140530).(combined-data).(20200916_134700_862341).dat
dpath	C:\Users\iwabuchiken\AppData\Roaming\MetaQuotes\Terminal\34B08C83A5AAE27A4079DE708E60511E\MQL4\Files\Logs\20200911_181722[eap-2.id-1].[USDJPY-5].dir
order_type	sell
account : 	20117981

s.n.	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	ticket	open-time	type	size	item	price	SL	TP	close-time	price	profit
1	28449241	2020.09.11 12:20:00	106.203	106.193	106.186	106.177	106.191	106.228	106.23	106.23	106.228	106.201	106.196	106.216	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	1	-0.007	-0.008999999999999999	-0.005	-0.008	0.015	0.036	0.002	0	-0.002	-0.027	-0.003	0.019	-1	-1	-1	-1	2	4	1	-1	-1	-3	-1	2	50.09621	49.91547	49.49581	45.52126	49.87416	54.85016	54.7191	50.13715	47.14564	47.10322	46.12992	50.53793	54.36415	51.67194	49.85282	47.58556	51.21827	59.10354	59.47625	59.47625	58.88166	51.55719	50.33662	54.83835	0.1908	0.15675	0.136	0.0669	0.2576	0.975	0.63135	0.6848	0.60975	-0.0562	0.3312	0.4095	3	3	4	4	4	2	2	2	2	4	4	3	28449241	2020.09.11 12:20:14	sell	0.10	usdjpy	106.216	106.183	106.025	2020.09.11 15:30:03	106.183	330
2	28449333	2020.09.11 12:25:00	106.193	106.186	106.177	106.191	106.228	106.23	106.23	106.228	106.201	106.196	106.216	106.212	-1	-1	-1	1	1	1	1	-1	-1	-1	1	-1	-0.008999999999999999	-0.005	-0.008	0.015	0.036	0.002	0	-0.002	-0.027	-0.003	0.019	-0.004	-1	-1	-1	2	4	1	-1	-1	-3	-1	2	-1	49.91547	49.49581	45.52126	49.87416	54.85016	54.7191	50.13715	47.14564	47.10322	46.12992	50.53793	49.9123	51.67194	49.85282	47.58556	51.21827	59.10354	59.47625	59.47625	58.88166	51.55719	50.33662	54.83835	53.81146	0.15675	0.136	0.0669	0.2576	0.975	0.63135	0.6848	0.60975	-0.0562	0.3312	0.4095	0.2255	3	4	4	4	2	2	2	2	4	4	3	3	28449333	2020.09.11 12:25:04	sell	0.10	usdjpy	106.212	106.183	106.025	2020.09.11 15:30:03	106.183	290
3	28449428	2020.09.11 12:30:00	106.186	106.177	106.191	106.228	106.23	106.23	106.228	106.201	106.196	106.216	106.212	106.202	-1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	-0.005	-0.008	0.015	0.036	0.002	0	-0.002	-0.027	-0.003	0.019	-0.004	-0.01	-1	-1	2	4	1	-1	-1	-3	-1	2	-1	-1	49.49581	45.52126	49.87416	54.85016	54.7191	50.13715	47.14564	47.10322	46.12992	50.53793	49.9123	45.97389	49.85282	47.58556	51.21827	59.10354	59.47625	59.47625	58.88166	51.55719	50.33662	54.83835	53.81146	51.28425	0.136	0.0669	0.2576	0.975	0.63135	0.6848	0.60975	-0.0562	0.3312	0.4095	0.2255	0.03	4	4	4	2	2	2	2	4	4	3	3	4	28449428	2020.09.11 12:30:05	sell	0.10	usdjpy	106.201	106.183	106.025	2020.09.11 15:30:03	106.183	180
4	28449505	2020.09.11 12:35:00	106.177	106.191	106.228	106.23	106.23	106.228	106.201	106.196	106.216	106.212	106.202	106.223	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-0.008	0.015	0.036	0.002	0	-0.002	-0.027	-0.003	0.019	-0.004	-0.01	0.022	-1	2	4	1	-1	-1	-3	-1	2	-1	-1	3	45.52126	49.87416	54.85016	54.7191	50.13715	47.14564	47.10322	46.12992	50.53793	49.9123	45.97389	45.27086	47.58556	51.21827	59.10354	59.47625	59.47625	58.88166	51.55719	50.33662	54.83835	53.81146	51.28425	55.86604	0.0669	0.2576	0.975	0.63135	0.6848	0.60975	-0.0562	0.3312	0.4095	0.2255	0.03	0.1245	4	4	2	2	2	2	4	4	3	3	4	3	28449505	2020.09.11 12:35:10	sell	0.10	usdjpy	106.229	106.183	106.025	2020.09.11 15:30:03	106.183	460
5	28449550	2020.09.11 12:40:00	106.191	106.228	106.23	106.23	106.228	106.201	106.196	106.216	106.212	106.202	106.223	106.224	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0.015	0.036	0.002	0	-0.002	-0.027	-0.003	0.019	-0.004	-0.01	0.022	-0.002	2	4	1	-1	-1	-3	-1	2	-1	-1	3	-1	49.87416	54.85016	54.7191	50.13715	47.14564	47.10322	46.12992	50.53793	49.9123	45.97389	45.27086	43.94127	51.21827	59.10354	59.47625	59.47625	58.88166	51.55719	50.33662	54.83835	53.81146	51.28425	55.86604	56.07312	0.2576	0.975	0.63135	0.6848	0.60975	-0.0562	0.3312	0.4095	0.2255	0.03	0.1245	-0.038	4	2	2	2	2	4	4	3	3	4	3	3	28449550	2020.09.11 12:40:01	sell	0.10	usdjpy	106.225	106.183	106.025	2020.09.11 15:30:03	106.183	420
6	28449740	2020.09.11 12:45:00	106.228	106.23	106.23	106.228	106.201	106.196	106.216	106.212	106.202	106.223	106.224	106.222	1	1	1	-1	-1	-1	1	-1	-1	1	-1	-1	0.036	0.002	0	-0.002	-0.027	-0.003	0.019	-0.004	-0.01	0.022	-0.002	-0.003	4	1	-1	-1	-3	-1	2	-1	-1	3	-1	-1	54.85016	54.7191	50.13715	47.14564	47.10322	46.12992	50.53793	49.9123	45.97389	45.27086	43.94127	38.29457	59.10354	59.47625	59.47625	58.88166	51.55719	50.33662	54.83835	53.81146	51.28425	55.86604	56.07312	55.52463	0.975	0.63135	0.6848	0.60975	-0.0562	0.3312	0.4095	0.2255	0.03	0.1245	-0.038	-0.20235	2	2	2	2	4	4	3	3	4	3	3	3	28449740	2020.09.11 12:45:01	sell	0.10	usdjpy	106.222	106.183	106.025	2020.09.11 15:30:03	106.183	390
7	28449803	2020.09.11 12:50:00	106.23	106.23	106.228	106.201	106.196	106.216	106.212	106.202	106.223	106.224	106.222	106.212	1	1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	0.002	0	-0.002	-0.027	-0.003	0.019	-0.004	-0.01	0.022	-0.002	-0.003	-0.01	1	-1	-1	-3	-1	2	-1	-1	3	-1	-1	-2	54.7191	50.13715	47.14564	47.10322	46.12992	50.53793	49.9123	45.97389	45.27086	43.94127	38.29457	40.0371	59.47625	59.47625	58.88166	51.55719	50.33662	54.83835	53.81146	51.28425	55.86604	56.07312	55.52463	52.80602	0.63135	0.6848	0.60975	-0.0562	0.3312	0.4095	0.2255	0.03	0.1245	-0.038	-0.20235	-0.1125	2	2	2	4	4	3	3	4	3	3	3	3	28449803	2020.09.11 12:50:07	sell	0.10	usdjpy	106.212	106.183	106.025	2020.09.11 15:30:03	106.183	290
8	28449864	2020.09.11 12:55:00	106.23	106.228	106.201	106.196	106.216	106.212	106.202	106.223	106.224	106.222	106.212	106.216	1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	1	0	-0.002	-0.027	-0.003	0.019	-0.004	-0.01	0.022	-0.002	-0.003	-0.01	0.004	-1	-1	-3	-1	2	-1	-1	3	-1	-1	-2	1	50.13715	47.14564	47.10322	46.12992	50.53793	49.9123	45.97389	45.27086	43.94127	38.29457	40.0371	40.59837	59.47625	58.88166	51.55719	50.33662	54.83835	53.81146	51.28425	55.86604	56.07312	55.52463	52.80602	53.7593	0.6848	0.60975	-0.0562	0.3312	0.4095	0.2255	0.03	0.1245	-0.038	-0.20235	-0.1125	0.0225	2	2	4	4	3	3	4	3	3	3	3	3	28449864	2020.09.11 12:55:02	sell	0.10	usdjpy	106.216	106.183	106.025	2020.09.11 15:30:03	106.183	330
9	28449953	2020.09.11 13:00:00	106.228	106.201	106.196	106.216	106.212	106.202	106.223	106.224	106.222	106.212	106.216	106.21	-1	-1	-1	1	-1	-1	1	-1	-1	-1	1	-1	-0.002	-0.027	-0.003	0.019	-0.004	-0.01	0.022	-0.002	-0.003	-0.01	0.004	-0.006	-1	-3	-1	2	-1	-1	3	-1	-1	-2	1	-1	47.14564	47.10322	46.12992	50.53793	49.9123	45.97389	45.27086	43.94127	38.29457	40.0371	40.59837	46.1904	58.88166	51.55719	50.33662	54.83835	53.81146	51.28425	55.86604	56.07312	55.52463	52.80602	53.7593	52.09772	0.60975	-0.0562	0.3312	0.4095	0.2255	0.03	0.1245	-0.038	-0.20235	-0.1125	0.0225	0	2	4	4	3	3	4	3	3	3	3	3	3	28449953	2020.09.11 13:00:01	sell	0.10	usdjpy	106.210	106.183	106.025	2020.09.11 15:30:03	106.183	270
10	28450130	2020.09.11 13:05:00	106.201	106.196	106.216	106.212	106.202	106.223	106.224	106.222	106.212	106.216	106.21	106.204	-1	-1	1	-1	-1	1	-1	-1	-1	1	-1	-1	-0.027	-0.003	0.019	-0.004	-0.01	0.022	-0.002	-0.003	-0.01	0.004	-0.006	-0.006	-3	-1	2	-1	-1	3	-1	-1	-2	1	-1	-1	47.10322	46.12992	50.53793	49.9123	45.97389	45.27086	43.94127	38.29457	40.0371	40.59837	46.1904	45.94956	51.55719	50.33662	54.83835	53.81146	51.28425	55.86604	56.07312	55.52463	52.80602	53.7593	52.09772	50.45615	-0.0562	0.3312	0.4095	0.2255	0.03	0.1245	-0.038	-0.20235	-0.1125	0.0225	0	0.00895	4	4	3	3	4	3	3	3	3	3	3	4	28450130	2020.09.11 13:05:02	sell	0.10	usdjpy	106.206	106.183	106.025	2020.09.11 15:30:03	106.183	230
